TITLE	MAIN_CONTENT
regard the detection of shape of the object on the arena	sir would like to clarify very clearly regard final arena that will be compete on in the final will there be any change in the arena in cross crater other than the number and placement of cavity and obstacle for eg will there be change in the thickness of the line length of the various black line in crater region to follow the black line be mandatory for to use the white line sensor or be permit to make use of other algorithmic implementation such as guide through xbee base on image processing and localise the bot or use position encoder and so on
configure gyroscope	sir would like to clarify very clearly regard final arena that will be compete on in the final will there be any change in the arena in cross crater other than the number and placement of cavity and obstacle for eg will there be change in the thickness of the line length of the various black line in crater region to follow the black line be mandatory for to use the white line sensor or be permit to make use of other algorithmic implementation such as guide through xbee base on image processing and localise the bot or use position encoder and so on
esp error	sir would like to clarify very clearly regard final arena that will be compete on in the final will there be any change in the arena in cross crater other than the number and placement of cavity and obstacle for eg will there be change in the thickness of the line length of the various black line in crater region to follow the black line be mandatory for to use the white line sensor or be permit to make use of other algorithmic implementation such as guide through xbee base on image processing and localise the bot or use position encoder and so on
doubt in path traversal	sir would like to clarify very clearly regard final arena that will be compete on in the final will there be any change in the arena in cross crater other than the number and placement of cavity and obstacle for eg will there be change in the thickness of the line length of the various black line in crater region to follow the black line be mandatory for to use the white line sensor or be permit to make use of other algorithmic implementation such as guide through xbee base on image processing and localise the bot or use position encoder and so on
regard xbee programming	sir would like to clarify very clearly regard final arena that will be compete on in the final will there be any change in the arena in cross crater other than the number and placement of cavity and obstacle for eg will there be change in the thickness of the line length of the various black line in crater region to follow the black line be mandatory for to use the white line sensor or be permit to make use of other algorithmic implementation such as guide through xbee base on image processing and localise the bot or use position encoder and so on
hardware relate query	robot give constant beep sound when put to charge
regard gripper	sir can use ready make link and gear to design gripper
charge issue	robot give constant beep sound when put to charge
not work	code which be work perfectly onlaptopwhich be not work in rpi.please guide
error while upload code on nodemcu	when connect the nodemcu to the laptop first of all get heat too much and another problem face be that when click the upload button from the ide then show the follow error message warn espcomm_sync failederror espcomm_open fail error espcomm_upload_mem fail
light on the arena	should keep the lighting constant and make code or make the code generic irrespective of lighting if generic please suggest way in which the hsv threshold could be change
node_mcu and laptop	please provide with the link of how to efficiently communicate between node_mcu and laptop
different value for same pixel position	if capture two different frame without disturb the camera even then be get different value for the same pixel what can be the possible cause or how can resolve this
connect extra motor	sir could n't find how to connect an extra motor to bot please help be there pin on uc expansion slot connect to output of nd motor driver to give power to an extra dc motor
camera could be replace	be not get proper image though the intex camera provide by even after several try image be n't clear that much by which task could be accomplish .can use any other camera as replacement for
turn off white line sensor red led	be there way to turn off the red light led present along the white line sensor throughsome code use potentiometer be able to turn off only one of led while other only get dim
problem with xbee communication	have configure both the xbee but be not able to detect the xbee present on firebird five in xctu
use of python package to interface zigbee	can use an external python package to interface zigbee with computer to bot
problem in configure gyroscope	be try to configue gyroscope use datasheet give by eyantra and take reference from wire.h library in arduino.can help how to convert wire.h library to usable form in atmel be stick at this point for long time please help
cross_a_crater	how shall configure stk programmer in window
where to connect vcc of gy-	be unable to figure out where to connect vcc pin nd pin from the top try search for the location of vcc pin on firebird in hardware manual and datasheet but find nothing.please help asap this be very urgent and many team be face the same problem.thank in advance
use of another package	be allow to use externalpackage of python except for opencvand numpy
programming of xbee	be not able to understand how can use pyserial to read and write datum from xbee
node mcu not recognize	sir nodemcu be work fine before but today when be work with lipo battery and nodemcu to power the servos suddenly stop work the board be not be recognize be also get heat as connect to pc please guide as to how can solve this problem thank
use of voltage regulator	dear sir madam request permission to use voltage regulator in base station team nt
can change the caster wheel	the caster wheel have some deformity hence the robot be move in slant position have also vary the position encoder value work for while and after sometime the caster wheel get strike and move in slant path can change the caster wheel or be there an alternative way thank eyrc lm-
regard communication between node_mcu raspberry pi and pc	sir can use internet web server to establish communication link between the three component ie.node_mcu raspberry pi and pc else specify particular protocol that must follow to establish the communication reply asap thank
realate to xbee programming	can use xbee module
regard proximity sensor	sir from start only th the th proximity sensor be show value while check in the firebird emulator so be there any solution to replace this
should the robot travel on the shape	should the bot travel over the shape and if yes what be the shape suppose to be make of foam board because think should be rigid enough for to hold the robot on while the robot be over please respond asap
laser replacement asap	unfortunately have destroy laser accidentally so need to replace the laser asap please do provide the price of the laser and specification if any if the same laser be not available can use different normal laser of red color light
the exact height	what will the exact height at which the camera will be mount
direction of the camera	respected sir want to ask which direction the camera would be face because program depend on
problem with path navigation algorithm	hello be not clear regard what algorithm must be for the navigation in bridge region could please suggest how to go about theme- cross the crator
stg cross_a_crater	dear team have go through progress video and have mail relevant remark to concerned team do check register email for the remark
launch_a_module	jayanthas post new general resource this resource will help to clear doubt regard some implementation challenge in lmthemetitle resources.ziphttp //www.piazza.com class_profile get_resource iv ovfv nc js iziwpeqs qk jyou can view on the course page https //piazza.com yantra.org winter /eyrc track /resources errata for tips_roi_robot_position orientation_detection.pdf where ever in section mention figure- and figure- consider as figure- and figure- respectively
stg cross_a_crater	jayant have post new general resource this resource will help to clear doubt regard some implementation challenge in cc theme title resources.ziphttp //www.piazza.com class_profile get_resource iv ovfv nc js iziwpeqs qk jyou can view on the course page https //piazza.com yantra.org winter /eyrc track /resources errata for tips_roi_robot_position orientation_detection.pdf where ever in section mention figure- and figure- consider as figure- and figure- respectively
communication on traversal	dear sir maam very commonly face problem in the blender game engine be the delay in receive serial datum this delay be cause the detect object shape and obstacle to spawn at wrong place on the game engine more than few time due to the same reason the path that appear as the robot traverse the plane on the game engine be also not correctly aligned.we find that the good solution to this problem would be to send the serial datum collectively in the end once the firebird robot traverse the complete arena however be in doubt since be not sure if be important to depict the real time motion of the robot on the game engine
help with avrdude in linux distro ubuntu	have anyone succeed in use avrdude in ubuntu or any other linux distro have get two query regard that what to use as argument for -p port and how to find try various method from net and end up get error that the programmer do n't respond get time out and that 's not in sync please help
error while run python script in rpi	sir have do script socket.py in rpi to make server but when run the script the follow error be see idle 's subprocess do n't make connection either idle ca n't start subprocess or personal firewall software be block the connection please help with this if 's possible thank in advance pls reply soon
regard use of additional python library	sir be allow to use additional open source python library such as imutil however be use only opencv for perform image processing operation thank
doubt in rule book	in the rule book be give that the bot should n't cross the border line will there be any penalty if the bot just touch the border line thank in advance
identification of object	can use haar cascade for the identification of object
regard initial setup	sir during the competition in the laptop provide can manually connect to the wifi hotspot and then start the python script or should the python script search for the hotspot and connect this be with regard to the initial connection only
robot not move straight	the robot be not move straight for same duty cycle in both motor duty cycle the wheel don'trotate in perfect circular manner why be so
about arena configuration	can door area have exactly same colour marker in two cell
modify servo	sir be allow to modify the servo by open up and make some connection so that the servo rotate through degree
change in base station	sir due to an encountered error will have to change base station design completely and will take time also have n't submit progress video because be busy for the same the instructor ask to submit asap could submit after day once complete base station
slow rotation of dc motor	be use battery for drive motor but battery be drain out soon .so plz tell can use rechargeable battery
xbee communication	sir be use the follow code for serial communication this be just sample use for testing but be not understand the problem acc to the code the bot should move forward and then backward repeatedly when the date transmit be signal sig_usart recv isr for receive complete interrupt datum udr //making copy of datum from udr in datum variable int main void unsigned char temp temp datum init_device while if temp //ascii value of forward //both wheel forward delay_ms stop delay_ms back //bpth wheel backward delay_ms stop delay_ms
request to extend the deadline due to exam exactly on the submission day	this be in continuation with post try level best but be unable to complete base station part of the task can not work on the task anymore as have exam from th feb to th march and have the submission exactly on the exam day be consistently work on which can see from progress video have work very hard and that concur with performance in the previous task so be request to extend deadlinejust by few day to prevent effort go in vein team eyrc nt
issue with the code provide with the eyantra dvd regard xbee	on build the serial_communication_zigbee_wireless.c file be recieve the follow error attempt to use poison sig_usart_recv please help
time limit on final video	do have any time limit for complete task in final video submission what should be the maximum length of video
query regard rule	the rulebook do n't explicitly say the robot must not cross the grid line so there be no penalty for cross gridline as far as the bot do not touchobstacle right never mind the question have already be answer in different post sorry
progress video	sir could n't submit the progress video on time be very busy in get thing from city and in the mechanical lab to build the base station that completely forget to shoot be still eligible to compete for task have already code the rover to work and be work on the base station so please consider request
li po battery	sir be earlier mention by an instructor that the power bank be enough to power the rover include motor and the battery casing will be use to power the base station node_mcu servos and laser so what be the use of lipo
seek permission to use stepper motor as an actuator	have try with servo motor for pan the laser but be unable to do so can use stepper motor as an actuator note stepper motor with driver
regard gyroscope program	be not able to get right the code for gyroscope.it would be helpful if sample code for gyroscope be provide
regard image verification	in cross the crator to identify the boulder number would use template matching but what to do if the number the rotate or will be place at particular orientation if be rotate can suggest some way to detect
checkpoint	can one cell have more than one checkpoint
cross_a_crater	no light shall shine just above the camera reflection of light on the flex to the camera will make the colour on the flex look dullcreate the template of the number from the arena image take from webcam for the template matching.pyserial be the good python library for communicating with xbeeyou can detach the sharp sensor and can place on anywhereplease skip some of the frame before capture the video camera take some time to stabilise the image
slow response in raspberry pi use ssh	the video capture work well when the python code be run on window but when the same code be run on raspberry pi use ssh the video be sluggish and the response in very slow any suggestion to improve that
timer query	sir be able to use timer ticker in normal program but when call any function for wireless transfer in the timer get wdt reset have search on google and nothing have help please guide with expertise
reagarde xbee communication	sir be unable to send datum from firebird to blender via xbee or receive please help with some video tutorial documentation as be new to this and and be unable to complete task
reagarde nodemcu	sir search and research lot but be not able to find out how to send datum from raspberry pi to nodemcu wirelessly would be helpful if could provide possible solution for or provide an alternative
regard slow processing of image by web cam	resolution of the pixel be not decrease computation of the image be very slow through the wifi module
be allow to use an extra component	sir regard stage of navigate terrain be wonder if be allow to use node mcu 's
yantra speak	dear participant yantra speak tab on the yantra portal have be update kindlycheck out the article on job vs entrepreneurship vs academic all the good for further task
can use logic level converter which be give below in image	logic level converter which be come with kit be not work properly so that can use logic level converter give in image.sir if possible than reply fast
traverse on blender	can make robot traverse on the mar surface and if the object be detect may create the type of rock and so on or if have to create the same arena on the blender please clarify
date of submission of task	sir have work very hard as yet as can observe in the progress video submit by team but have not be able to complete the task as yet and due to exam start from th february to th march be not be able to work on the task anymore pls consider extend the date just by few day as the submission be exactly on the day of exams.team eyrc cc
progress video low volume output	the progress video shoot have lot of noise with the intention to reduce filter heavily and so the final output volume in the video have submit be very less could n't realise initially before submission as be able to hear itin laptop with headset connect what be suppose to do now video link thank eyrc
green zone placement of rover	sir will the start point green zone be the same for all the run or can change how be the rover to be keep in the green zone facing position thankyou
problem with rpi wi fi	hi sir face some problem with the wifi module in rpi can see the wifi sometimes and sometimes do n't turn on 's behave erratically how do fix this
stg cross_a_crater	can put colour paper on bot and use for detect the location of bot use image processing
change in date of submission of task	sir exam be exactly between the date of submission of task please if possible change the date of submission of task
number detection problem	sir please help be not able to detect the number on the flex have use all the technique but some time work and other time do not work please suggest some more technique to detect the number on the boulder because without number detection be not able to pursue further in the task
rover not move on flex	sir the rover provide to be not move on the flex properly may be due to friction issue the wheel at some point rotate freely this problem be less prominent on regular surface at this point when have almost complete programming do n't know what could be the solution since need to calibrate the rover for each level by set an appropriate pwm signal and this value vary and be not able to fix this
regard the direction of rover	have one confusion that in which direction the rover should start journey clockwise or anticlockwise can the rover take turn or reverse on the path
regard yantra final date	sir request to reconsider the final date of yantra competition as have nptel exam too on th of march would be more convenient to if date will be extend by some day thank
arduino code help	dear sir mam mt- http //www.nex robotics.com resource use arduino to program firebird v- -platform.html team be very comfortable with use arduino ide have use the above link as reference for use the ide have window so have use avrdude and work fine with the sample experiment that be give when upload after hex code conversion of the basic blink program with lead pin be but the led that need to be blink never switch on and can please tell if there be any other site for interface arduino with firebirdv await for reply thank
cross_a_crater	img .jpg help please asap
in youtube video name angle braket be not allow what should do	to upload that video have use parenthesis in place of angle bracket do create any problem
regard reposition of front sharp sensor	can change position of the front sharp sensor accord to convenience
wheel not rotate	have complete most of the work.now suddenly right side wheel have stop rotating.when deliberately rotate the wheel be rotating.please suggest what can do.reply asap thankyou
regard making of arena in blender	do arena make in blender should represent line and node same as in actual arena or can be represent by some other mean
use of timer	sir how to use timer in node_mcu arduino ide please provide with basic code reference of initialize timer in node_mcu
charge problem	be charge battery first time however battery be not low be attach video link google drive link which show the complete problem in charge the battery help as soon as possible
extension of deadline exam	sir request to extend the deadline of task- final video submission by day be work hard see progress video but the task implementation be vast and also due to exam from be not get enough time please consider request team eyrc nt
regard power supply	may use one extra battery for power the servo as show in camera pod design give in accessory folder of firebird in eyantra dvd content yantra_dvd firebird atmega robot accessory camera pod and usb tv tuner card camera pod of firebird robot]. kindly reply at the early
regard use of buck/ boost converter	sir have mail use regard the use of buck boost converter in both base station as well as rover for provide constant power supply but be yet to receive any reply please allow to use the component
navigate_a_terrain	task- result for ntis out and available on portal this post be mean to give some help tip to assist come up with well solution on evaluation of task- submit by team find some common mistake misconception with team below be some tip consider can help note that these be generic be not direct to on any single team please know that the dimension of base station and rover be fix some of have make the base station tallerthan the specified height.this be subject to disqualification.map have black marker checkpoint to specify the position of checkpoint on the arena.rgb lead on the rover and base station should be light refer rule book .passing an array list from laptop to the base station for spotter to move should be think properly how to correlate the movement of servos accord to the process map there be difference in theoretical and practical implementation.please find that be practically possible to achieve degree in servo ready make gripper be not allow already specify in rule book .don't just do stuff know why and how be do learn the technology behind how thing work for example what be wifi can google to find the answer or if have doubt post on piazza similarly what be dc and servo motor.how node_mcu can be utilize efficiently do not assume thing if have doubt ask about on piazza will try to resolve to good possible extent.follow coding standards.you will be ask to submit code for final implementation.some team have copy text from rule book and task description know about and for now have let go by deduct some mark in task- please do not fool around have enough experience and expertise to find such thing have disqualify such team in stage- for copy code and can do so if require in stage- be honest and work hard whatever be mark in task- must think about final task- video submission task- have the high weight age use above tip and come up with good solution look forward to see progress video and good final implementation all the good
camera code	sir can please provide the camera.py file which get initially in rpi as have edit that file by mistake and camera be not work please provide that file asap team
quality of image take be not clear from overhead camera	the above image be take from the overhead camera after run loop for sec and the camera be focus perfectly.the image be not clear and even after increase the range of hsv threshold the medium sized box be not detect clear can use camera usb other than provide in the kit team lm
position of sharp	can change the position of sharp sensor provide on bot
xbee serial communication	sir please provide link to website that have the material to help understand serial communication to xbee use pyserial do n't have any knowledge about serial communication or the command use in pyserial get many error when try to run sample code from the internet and do n't even know what mean
how to proceed	sir have see the resource file for hsv and try out the code as well get the picture but be not sure how to proceed please guide p.s- be not sure how to proceed with the coding as well since the robot be to be code in embed and the picture match in python
regard the result of task	sir would be of great help if could get some remark feedback on the task submit document since the remark just state great job wait for positive response thank eyrc- lm
regard the tip for implementation of the theme	sir be state in the post that the overhead camera along the sharp proximity sensor can be use for detect the orientation and position of the robot could any of the instructor please help by elaborate the above mention tip thank in advance
robot movement	sir be necessary to move the robot in direction forward backward leave right degree in the grid or can move at any angle in the arena directly connect the robot and object in the arena
regard initial laptop connection	sir in the rule book ve be tell that will be give minute to send the optimal path from the laptop provideto the nodemcu in method of create the communication network laptop be the host and in the program of rpi and nodemcu need to assign ip of the host but as can not change the code in the rpi and nodemcu in those minute will have enough permission in the laptop to set up static ip address also will the laptop provide have window os do respond at the early thank
can use machine learning	can use machine learn in image processing number detection because get tough to process the image please reply as soon as possible
regard task result	sir do the task result count for selection process or be just for help to come up with the solution thank
unable to detect the cell	sir be unable to detect cell big square not that for human reference since the image capture be unable to give smooth black line focus be also perfect
blender game engine	respected panel want the blender game engine to send datum once and start control the player as per receive data.however becaue of always sensor the script be run after evey pulse and send datum again and again try level trigger and increasongnthe skip tome but the cube be not move or not read recieve datum
regard the movement of the robot on the arena	mt- want to know if be necessary that the robot move only on the black line of the arena or if be allow to deviate from 's path little for well color detection please help thank
how to rotate degree use two servo motor	sir be use servo motor and both of rotate deg want to assign one servo motor to rotate deg but be unable to please suggest solution
stg cross_a_crater	~resolved
raspberry pi wifi adapter not blink	respected sir madam the raspberry pi initially give to stop work because of board failure be currently work on raspberry pi model instead of the wifi adapter do not blink when connect to the pi power through the power bank also try the follow connect the pi to the router use an ethernet cable in order to ssh into also power the pi use the power bank but the ethernet cable do not blink connect the pi to the tv use the hdmi cable power to through the power bank no startup log be display all that appear on the tv screen be coloured image picture have be attach with the query have rewrite the os numerous time onto the sd card in order to make and work but yet no result eyrc navigate_a_terrain
glowing of rgb lead	during the acknowledgement of checkpoint detection rgb lead should glow for how much time on both rover and spotter
launch_a_module	task- result for lm be out and available on portal this post be mean to give some help tip to assist come up with well solution on evaluation of task- submit by team find some common mistake misconception with team below be some tip consider can help note that these be generic be not direct to on any single team for colour marker in door area there can be multiple matching object in working area but only one object need to deposit in door area other object will act as an obstacle with reference to of task- some team have not follow the arena configuration for task- for video submission task- ensure that arena be setup as per give configuration for wrong arena setup score will be evaluate to zero.ready make gripper be not allow already specify in rule book some team be use -servo motor for pick placer mechanism think whether be require some suggest mechanism can be do with just two for example grip part can be do with one more servos mean more power consumption think about mechanism note this be just suggestion and not mandate do whatever be good and possible for you.don't just do stuff know why and how be do learn the technology behind how thing work for example what be xbee and zigbee can google to find the answer or if have doubt post on piazza similarly what be dc and servo motor difference between sharp sensor and proximity sensor how these works.some of have mention use robot body green color and circular shape for position and orientation detection be difficult because color on robot surface be not uniform be not discourage to do this but make sure try immediately and improvise on idea if required.we suggest that for robot position and orientation detection can make use of sharp and/or proximity sensor already present on the robot as well the overhead camera this would help get more accurate estimate and this in turn would ensure run into few problem due to incorrect detection.do not assume thing if have doubt ask about on piazza will try to resolve to good possible extent.follow coding standard will be ask to submit code for final implementation.some team have copy text from rulebook and task description know about and for now have let go by deduct some mark in task- please do not fool around have enough experience and expertise to find such thing have disqualify such team in stage- for copy code and can do so if require in stage- be honest and work hard whatever be mark in task- must think about final task- video submission task- have the high weightage use above tip and come up with good solution look forward to see progress video and good final implementation all the good
launch_a_module	can pick up all object first then drop off at respective door area one by one basically carryingall object to the door area on the firebird
robot movement on the flex sheet	sir have complete the coding and start test with the robot but the robot be not move in straight line i.e. be change angle by small degree while traverse in straight path be there any solution for this
about youtube video	where to upload the video on youtube any specific channel or provide detail
about issue of thermocol thickness	thermocol thickness be more than cm why ii be problem
can use real time bot tracking and communication	can place coloured dot and track the same can the bot follow the course maid on the image
line follow	sir could say the width of the line in theme because be face very problem in line following.the width of the line be very thin.the bot be always go out of the line
same code but different output in gcc and avr gcc compiler	have compile code in both gcc and avr gcc both be give different output atmel studio be give wrong output while the same code in gcc compiler be give desire output please help with this
battery charge	be try to charge the firebird as be beep long beep and then short beep accord to manual mean battery low but when plug to charge then be beep twice and green light turn off whichmean the battery be full what should do
cross_a_crater	sir have get the remark for task- as state below.here be query here be few query .sir have the cut the cavity as show in the fig .we have place square shape circular cut sunboard over the cavity as show in fig .the fig show that the boulder completely fit into the cavity and the sunboard ensure the smooth travelling of firebird now the reason have cut the sunboard into square shape place over the block be beacuse of the dynamic positioning of the cavity so be unable to understand remark can please clarify thus can make the future change need
color of black line on flex be light	sir madam do n't realize that color of black line on print flex arena be very light.hence threshold value result very low when compare with value obtain with black line of other 's flex arena .we be plan to use black tape over the already print lines.should do something else or this will be fine
position encoder	sir be face problem in use position encoder be give simple command of move forward and backward but move only in forward direction when be uploading hex file of give experiment robot be follow all the command also when simply copy and paste the program give in experiment only move in forward direction have check all the pin and register configuration
cross_a_crater	be ok to use the gripper provide by nex robotic
add extra servo	sir be in need of connect servos totally kg and servo servo be connect to the servo connection give but for remainae be in need of pin provide if connect pwm pin from expansion socket .pins and be give as but mention as power for digital device with limit ma can use thank
servo code error	sir new to embed programming try use the example code give in experiment folder there seem to be an error pls help
quality of image take from overhead camera be not very good	even after set the focus very precisely the quality of the image be not very good and in the hsv format even after take long range for the specify color be face problem in recognize the medium sized shape
how to calibrate ir sensor	sensor be not detect the object properly from the require distance and be also not able to determine the threshold value as the value keep fluctuate mt
additional software on rpi	be allow to install additional software on the rpi
incorrect angle of servo	sir have make sturdybase station with two servo motor but be get the problem with one of the servo motor as be gettingaligne at different position for the same angle during simulation servo motor be operate on via logic level converter be program use arduinoservo library also while stop servo at particular angle jitter at the same position be software problem or hardware problem
raspberry pi usb not work properly	the webcam when connect to raspberry pi blinksfor for one second and then shut off seem to be an issue of usb port not receive power properly please suggest something thank
mid sem exam	please extend the last date of the submission
xbee communication issue	sir be face issue with the communication over xbee module and be not able to find any proper source to read about it.please suggest something if possible.there be reference to section in the description of pin and of atmega on page of software manual but there be no such section in the software manual kindly guide at the early possible launch module
regard serial communication between firebird and python script via xbee	sir be face some problem in communicate the robot with the python script python script work well and transmit datum usingser.write datum the example code of zigbee communication give in experiment folder work perfectly fine but be unable to modify accord to need for example if the transmit data be want the robot to move specific distance or call function insidesignal sig_usart recv how can have the receive datum in main code rather than insignal sig_usart recv
can use other camera	can use other camera other than those provide in the kit
problem face while traverse	while be traverse the robot in the arena during travel the black line path be come in between the two sensor due to which the sensor be not detect the black line and get the value on all sensor as white line how can solve this
sunboard ambiguity	during the implementation of task as per instruction randomly cut few circle out of sunboard from the bridge area satisfy the mention constrain now cut those circle out of sunboard make the cavity on the bridge fix so please help out kindly revert as soon as possible as many of query be still not resolve by anyone of
charge firebirdv	sir please tell the correct way of how to charge the bot and what be the indication which tell that robot be charge sir please guide
servo motor	sir how to increase speed of servo motor sir by decrease top value servo motor speed be not increase sir please guide
regard the implementation of idea	have start to work on theme while work be face many problem in implementation idea can make some major change in implementation idea than what submit in task
internal exam till feb	internal exam start from th feb and be go to end up tomorrow ie th feb and get permission of use college 's mechanical workshop on th feb due to this reason be not ready with mechanical structure.i will request to allow to make structure use thermocol for temporary basis or to extend the date of progress video submission.please reply asap mt
how to use gyroscope	sir how can gyroscope and accelerometer read in order to know distance and rotation of firebird robot
script on rpi	hi sir do have to start the script on rpi by nodemcu or should use the moboxterm to start the script on the raspberry
communication between blender and firebird	sir unable to send datum from blender to firebird via xbee or receive through xctu be go bt not blender plss help with proper tutorial ca nt find proper tutorial on net mid semester have almost start .so sir pls help with proper tutorial
progress video compulsory	be make the progress video compulsory because have exam from th february and be unable to spend any more time on e-yantra.we have already spend many hour on this leave aside academics.please make do the progress video not compulsory because have n't face too many problem during do this and also have n't make the arena yet for lack of time.thank
send datum via zigbee	be face problem in send datum via zigbee module signal sig_usart tran datum hello_world udr datum the code have provide help in receive the datum please provide some example to transmit the datum
line in cross crater	can skip the line move straight to boulder pick diagonally and then straight to crator region no black line follow be this allow
servo motor degree	have use two degree servo motor in spotter but the algorithm get quite complicated would be much easy if be allow to use one degree and one degree servo instead be that okay team
stg cross_a_crater	dear participant task result have be release please check the same on the portal pay attention to the comment and feedback provide few general instruction for theme implementation in few image submission have find that the black rectangle of the arena be not fully visible in such case web camera should be manually rotate to change from portrait to landscape mode can use template match contour detection for determine cavity and obstacle in the arena cavity should be circular only one sharp sensor be allow provide in the kit .no other sensor apart from the one provide in the kit firebird be allow usage of too many actuator simultaneously may lead to rapid current surge ir proximity sensor may not be suitable to detect obstacle due to vary height use concept of capture region of interest and perspective transformation to capture the region inside the black rectangle check the resource on portal image processing guide have be update be ready for progress video submission all the good
line follow	be ig necessary to follow the line path in cross crater boulder region or can move straight from any point
serial communication	when build the code show error attempt to use poison sig_usart rev how to solve
unavailabilty of sunboard foamsheet in city	the sunboard require to make the shape be not available in city agartala have search the city shop and even from the outskirt but nowhere the sunboard be available can suggest some alternate or can try make the shape use some other material
serial communication use xbee module	sir about the tutorial provide be insufficient for execute all aspect of the project.we be face trouble in use the xbee module for wireless communication .we search all over the inernet but be nto able to get tutorial that be understandable .most tutorial assume know lot about program these device but have very limited knowledge especially those come from branch like mechanical engineering do use python program use for image processing to communicate with the xbee if so why be the tutorial givn in if be to use program how do make work in tandem with the python program use for image processing request to either extend the deadline or please provide with tutorial for the same thank
servo motor faulty	sir the motor give to be faultythere be fevi quick stuck onto the rotate partcan expect to pick work motor from iit bombay eyantra robotic cell reply asap
error face in xbee communication	ad serial.serial com traceback most recent call last file blender_console line in module nameerror name serial be not define be unable to discover the port com where xbee be to be connect and the blender software be display the above error so please help or provide tutorial or any specific link so that can learn to make the xbee communicate with each other thank
xbee communication	be face trouble while establish wireless communication between two xbee module how do transfer datum bit wirelessly use xctu terminal while keep the robot cable disconnect please help out
clash of exam and deadline of progress video	college exam be end on th which be the deadline for progress video please help and extend the deadline or any other solution that may help thank
error in avr studio	be get this error in avr studio please help asap thank problem be solve
nodemcu get damage	be work on base station and when connect lipo power to vin of node mcu get damage with spark since one from lolin be not available in the market therefore have purchase one have brand nameamica can use this one since have the same datasheet as that of lolin team
guidance require	mid semester examination commence from th and end on the th.we be unable to invest much time in the project and mostly be time be be utilise in deal with small issue of some sensor or algorithm implementation.ex-line follower try for two day with no results.we require proper tutorial toguide so that can work smarter
tutorial	be not get any proper tutorial for do these tasks.previously tutorial be give so learn thing fast but now give the time constraint time be be utilize in start from the beginning.we be try so hard but be face so many small problem like faulty color sensor line follow uploading hex file etc.we request proper tutorial and increase in deadline.many time ask in piazza but say to search on the net but proper resource be not find on the internet
still problem in color detection	have try hsv rgb format for color masking but ca n't get the perfect mask except red color find too difficult since have try more than day on this part please any one give some idea to overcome this problem.what be the other possible technique to mask by color what may be the problem with please help sir
line follow	the value that the sensor be give to the robot be fine but by the time react to the sensor value have already move forward.what should do have try reduce the velocity but do not work.our algorithm be fine but robot deviate from path.we require some help here.and do not detect node properly for the same reason
operate voltage of laser node_mcu logic level converter	sir can the laser work on provide by lithium ion also can node_mcu servos and logic level converter operate at v.
servo motor	sir can use an additional servo motor in theme besides the two also can discard one of the motor give to by eyantra
about certificate	sir have not yet receive the certificate but some team from class have receive the certificates.what do now sir team 'd
xbee communication with blender	hi be face problem in set up the xbee module and communicate with blender please provide link or some tutorial for the same thank
laser in red zone	be compulsory to move the laser point in the red zone for parking the rover in red zone ca n't just move the laser in the in innermost level and signal the rover to park
device signature mismatch	the avrdude show device signature expect signature for atmega be avr bootloader be not detect the device and com port usb stk be not recognize window bit
regard client server	sir do have the choice of select the client server fromrpi nodemcu pc or do have to makethenodemcu as theaccess point and raspberry pc as the client only please do reply thank
team member while video submission	sir two of team member be go for robocon since the date of robocon and eyantra task video submission be clash hence want to know if be necessary for all the member to be present in the video or member will do
