TITLE	MAIN_CONTENT
Distortions before calibration	sir we are trying to calibrate the camera. But the camera feed is very distorted and we can't calibrate in the calibration screen. Please help us as soon as possible so we can continue further. 
Additional Indicators and Buttons	"Sir, can we use additional indicators (such as LEDs, buzzers..) for debugging purposes and some push buttons / pots for calibration? We plan to use it for the robot and the controller."
Doubt regarding the submitted Task (2)	"  Sir,   We had uploaded task 2 questionnaire .zip file, but recently when we checked the uploaded file, we found it to be empty. So, we would like to know whether you have received our documents. Our team id - eYRC-EB#2174"
Balance Bot	For multitasking in task 3 are we allowed to use any approach described in the e tutorials  or only the approach based on Millis() ? It is mentioned so in balance bot resources ... 
Rviz doubt	Sir in task3.3 we have to show output in Rviz. So do we have to show the robot model? Or is it enough to show the output by showing the transform? And do we have to show the movement of the real robot ? 
EB Task 3.2	"In the Sample video of ArUco marker detection and printing value on terminal, the camera output focusing the marker is not shown in the terminal. Are we supposed to show the camera output in our screen record? "
Bot Construction	"Sir,    For Robot Construction what material can we use for building the Chasis? Should we also consider the weight of these materials while construction? And it is said in pdf, "" Dimension of robot: Explorer bot should be under the following dimensions.Length: Maximum 1 ft.Breath: Maximum 1 ft.Height: Maximum 1 ft ""So, can we make length, breath and height lesser than 1 feet?"
Teleop Key	In task 3.3 do we have to write our own teleop-key node or use the one provided in task 1?
Task 3.2 video submission	"Sir, our team has the following doubts :   1.Do we have to show all the marker IDs sequentially according to the given database, or in a random way as shown in the sample video provided by e-yantra?   2.Including the range 200-215, are we allowed to show few other marker IDs between 0-1023 ?   3.Our video takes a time duration of 5 minutes, is there any time limit for making the video?"
Robot Construction	Can we use a chasis available in store or we are instructed to make a chasis on our own??
LiPo battery usage	"Sir, regarding @525 do we need to connect only one lipo battery for : AtMega, L298 and raspberry Pi. I have this doubt because according to PDF in task 2 we connected one lipo battery to Atmega in DC jack and use another one to L298. "
Task 3.3 Rviz doubt	"Sir, in task3.3 it says that the movement of explorer bot should be reflected in Rviz. i) So do we need to make a map of the arena? If so then do we need to place obstacles and where? Do we also need to show that in Gazebo?ii) Do we need to show by tele_top node only the forward/backwards motion or also the turning motions?iii) And what do you mean by human intervention. It is confusing since we will be pressing keys on keyboard to move the robot or do we have to use 2D navigation."
Serial communication in Task 3.3	In task 3.3 the robot will need to be attached to the computer via USB for serial communication. So do we have to use XBEE in this task for remote control?
"      error when running ""roscore"" and launching ""usb_cam-test.launch"""	we are getting the error' process has died ' when running 'roscore' and launching 'usb_cam-test.launch' .Also it throws 'std::runtime_error'.Error still coming even after catkin workspace is sourced How to solve this issue?
server certification problem	 we are getting this problem
ArUco MArker	Do we have to directly paste the printout of ArUco marker on cube box ????.  
using arduino library	Is it compulsory to use the arduino library? 
percentage of task 2	It is given in top post of balance bot that weightage of task 1 is 20% and task2 is 10%. But Task1 is of 60 marks and task2 is of 50 marks. Then how can these percentages given be true. Please explain correct weightage for each task. Thanks.
Weightage of each Task in FINAL Score	"Sir, can u please provide us the weightage of each TASK in the Final Score for EXPLORER BOT THEME?   Similar to as that provide to BALANCE BOT THEME in @477"
Task 3.3 motor control Code	"Sir, Can we use the hex file you provided for motor control in task 3.3, or do we have to write a new code to burn on the Atmega 2560 for showing the movement of the robot."
EB doubt	Sir are we allowed to use both the lipo batteries simultaneously in the robot ? One for motors and other for controller and RasPi. Or only one battery at a time is allowed?
(image_raw:5527): Gtk-WARNING **: cannot open display:	"We are trying to interface the USB camera with the RPi. Upon running the 7th step from the PDF(testing_hardware),  rosrun image_view image_view image:=/usb_cam/image_raw we are getting the following error : (image_raw:5527): Gtk-WARNING **: cannot open display:  What should we do? "
task1	What was the total marks of task1
error while launching usb_cam-test	Sir we are facing a timeout error while launching the above mentioned file. 
Task 3.2 eb confusion	"Sir,in this task do we have to only write a python script on pc that subscribes to /Estimated_marker, or we have to also design algorithm/image processing  to detect markers??As it is mentioned ,The above command will launch the node to detect the Aruco marker and publish theID and orientation of marker on topic “Estimated_marker”.So,it is inferred we dont have to write our own codes or are we allowed to modify the code??Also what the purpose of word GENERIC when we have to only compare id with predefined table??"
Regarding task 3 arena image upload	"Dear participants, We have come to know that, there is problem in the upload of Task3-Arena image in portal. We are looking into the problem and trying to solve it as soon as possible. So please don't upload your images in piazza or send us through mail. Penalty will be not be imposed for submission till tomorrow midnight. Sorry for the inconvenience caused.   e-Yantra Team."
Not getting perfect angle measurements	"Dear Sir/Ma'am and my friends,   I am not getting accurate angle measurement output while observing in Scilab (Task - 1), the gyro tilt angle keeps on increasing on its own even if the sensor is stationary, also the accelerometer tilt angle gives false readings that vary in random manner. I am unable to understand where the fault is... the epoch() gives correct reading of time, but the readings from sensors are not as needed. Kindly help me out, if anyone can or guide us.   We tried testing the balance_bot_hardware_testing.hex and ran the simulation file provided, the acceleration along Y axis is running as a loop from -180 to +180 degrees even when the sensor GY-80 is stationary. Any instructor kindly guide us what shall we do further.   Thanks alot!   Regards, Kalind."
Catkin_make command freezes at 3%	"We are trying to interface the USB camera with the RPi. Upon running catkin_make command, it freezes at 3% and stays at 3% indefinitely. We have tried changing the system and left them as it is for 2-3 hours. What should we do? "
Unable to establish ssh connection b/w pc and rpi	We were able to establish a ssh connection before on a different router but are not able to establish one now. It gives the following error : ssh: connect to host 192.168.1.42 port 22: No route to host. What should we do? 
Unable to establish ssh connection	"11.png     Sir, while executing the above command we are getting no response from the system. It is not prompting us for password. What can we do?"
Task 1.2.4 Navigation Query	"Dear Sir, In task 1.2.4,when we give a 2D Nav Goal in rviz the robot starts rotating while making its trip.We even tried modifying the .yaml files in param folder but its not working.Which parameters should  we change in order to resolve this issue?   Given below is the link of our rviz navigation https://youtu.be/Xg9dd6-Yb7g"
Result of Task 1	"Sir, when the result of task 1 was declaring as portal say it was on monday but there is no declaration of result on monday??"
Balance Bot arena photo submission	Should we make the complete arena including the obstacles for this submission or is flex alone with ouy any obstacles enough? 
Atemga2560 hardware problem	"Dear Sir, Ma'am, We were working on task3.3, and the robot was running successfully as was done in task2 but suddenly there was a smoke and a copper strip broke off. We tried to solder it but it is not working even if we are powering from the USB. All the other components are working. Please help us. Our team ID is EB #1909  "
Task 3 Marks Distribution	"Dear sir,             Can you please provide the details about marks distribution for Task 3 ?"
Encoded motor	"Sir,     What is the PPR of encoded motor given to us ? "
Bridge and Hump Dimensions	"1. Bridge wooden ply is 2x1 ft. or 2x1.5 ft. ? (Both are mentioned in the rulebook) 2. For the humps, what should be the ideal thickness of each of the rubber layers? 3. Can we use cardboard (of same dimensions) as alternative for the humps, if we don't find rubber layers (If so, please specify thickness again)?   Thanks!  "
Query regarding marker sequence	"Sir , Do the sequence of the Marker from 200 to 214 need to be in sequential manner or any random sequence will work?   Also, even  when the Marker is not present in front of the Camera, the output of the last detected marker is being displayed on the terminal continuously.Will this be fine?  "
Confusion regarding location of Python script for ArUco detection	"Sir, in the sample video link given for the ArUco Marker Detection, the python script is running in the PC terminal whereas we have to create the python script in the marker_pose_detection directory which will be in R-Pi.   So, do we need to run the script in R-Pi terminal itself or in the PC terminal (by creating the marker_pose_detection directory in PC and placing the script in it) ?   Or   Was the sample video only for representation Purpose?"
Flex image format	"On the portal, we are asked to submit image in PNG format whereas in the Task3_Read_me, we are supposed to save the image in jpg format. What should we do?"
Purpose of neopixel	"Sir/ma'am,what's the purpose of neopixel tutorial?"
Delay in scanning and multiple output for one scan	"Dear sir,             We are getting the appropriate output but it is time to scan ArUco Marker and once it scans, it is printing the output for multiple times. How can we resolve that? "
Data visualisation on Scilab	"Sir we are successfully able to receive the data on the Zigbee . But since we've used other boards and libraries, we cannot utilize the SCILAB.h you've provided. So can you help us just plot the serially received on the xbee?"
viewpoint_Estimation file	Sir when i change certain thing in viewpoint_estimation.cpp and viewpoint_estimation_lib.cpp file then run viewpoint_estimation_genius_f100. launch file then the changes are not shown. But when i rebuild my catkin folder again using catkin_make then this changes occurs how is happen because this launch file use this viewpoint_estimation.cpp script then why the changes are not occuring directly.?  
Estimate_marker topic	Sir under estimate_marker topic lots of data is publish continously when aruco marker is detected i am able to see the marker id and orientation but i cant understand when i subscribe this topic how can we distinguish between these data (id and orientation) as all comes under the same topic. thank you.  
Can we use servo?	In the rulebook it is given Teams are allowed to create any type of mechanical mount for mounting camera.  So use of electrical components like servo motor is not allowed? Only mechanical mounting? 
EB task 3.2 doubt	Sir in ArUco detection pdf it is said that Note: Your script will be passed from the several test cases for evaluation. Make it generic That means script should work for any number between 0 to 1023 right? Is there anything else that the script must be able to do?  
Blured image captured by camera	"Dear sir,            The images that are captured by camera a found to be blurred(unclear). Is this problem with camera or software issue? Following are the images:   "
Is Camera Caliberation required?	"Dear sir,             Do we need to caliberate the camera in order to detect AruCo Markers? If yes, how to do so?"
Visualization of serial data	"Sir,   Can we use MATLAB instead of Scilab/Xcos for visulaization of data  from zigbee ?   Our college has Full version of MATLAB installed...so please allow us...   Regards."
Rosdep installation error	Please help 
Hardware	 can we use white line sensor and servo motor in hardware of robot.
arena_making	"Sir,Could you please elaborate on the construction of the bridge in balance bot rulebook?.With respect to the U-clamp."
viewpoint_estimation node is not starting in Task 3.2	We followed the procedure mentioned in problem_statement.pdf of Task 3.2. We tried command  'roslaunch viewpoint_estimation_genius_f100.launch' as shown in youtube video. It is not able to launch the node viewpoint_estimation as follows:    What should we do now?
Task 3.2	"Dear sir,            Can you please provide proper tutorials for writing python script for ArUco Marker Detection. We are unable to get proper idea about writing the scripts."
Overall Distribution of Marks	"On the lines of @477, can we also get the overall marks distribution for the Explorer Bot theme? And also the marks distribution for Task-3.  "
confusion regarding task 3	"sir,can we do the scheduling sub task  (task 3) using core embedded in atmel studio only i.e. without using arduino approach?"
Libraries for task 3	"As given in balance_bot_resources.pdf;   We can make our own arduino libraries instead of using the earlier given ones.   Instead of that , now can we make our own atmega libraries in atmel studio itself instead of arduino ??   Please reply as soon as possible.   Regards."
Submission query on Arduino Project of Explorer  Bot	"Refering to @471 Do we need to submit the Arduino Project of Explorer  Bot? If so, than probably the deadline for the same OR Python Script for ArUco Marker Detection(depending upon their respective video submission) should be around/on 17 January. Guide us in case of false assumption from our side."
i2c and uart library	are we allowed to make some small modifications in provided libraries?
Task 3 Code Submission Query	"In Task3_Read_me.pdf, it is mentioned to submit pyhton code for Task 3.2. In Problem_statement.pdf of Task 3.3, even there is mentioned code submission. Are we supposed to write code for Task 3.3 ? What should we submit in code submission? "
Clarification of Deadlines (Task 3)	"According to the deadlines mentioned on the portal, we've to submit the code on 3rd January, and the video on 17th January. How can we be sure of the working of the code before the video submission? Can you please confirm if the dates mentioned are right?"
L298 module	Where can I get the L298 module for the schematic ? Its not available in fritzing.
uploaded docx in task2	I uploaded docx file instead of pdf in task2. Should i reupload it as pdf? As the deadline is gone.
accelerometer and gyroscope raw data	We burned the MPU6050_raw hex file into atmega successfully but when we check the output on gtkterm we get something as shown in the image I know we are way past the dead line but we would still like to complete the task so please help
virtual memory	WE ARE GETTING THIS ERROR WHILE SAVING SWAP FILE
few minutes delay in task submission	"Sir,due to some net problems  our folder for task -2 was uploaded at 00:10  i.e 10 minutes late.So we kindly request you to overlook this delay."
Task 3	When will task 3 be released? When will task 1 results be announced?
Done a blunder. please help . tensed.	"I submitted task 1 before deadline. But on 20-12-16 i accidently uploaded the folder for task 2 in the option of uploading task 1. After i understood the mistake, i again submitted my task 2 in correct option. But upload was done 2 minutes late after the deadline. Now the problem is that i my task 1 decoment is replaced by task 2 document on 20 dec. Please take our case. I upladed task 1 before deadline but now it is replaced. Was task1 already evaluated? Please help. Also please tell that our task 2 will have a penalty or not as it was 2 min late due to the blunder. Our team id is bb3144"
late submission	"sir we haven't been able to submit our video on RPI till tonight, so can we submit tomorrow. will the link be available on the eyantra portal"
Motor Output Query	"When we run rosrun rosserial_python motor_publisher.py /dev/ttyUSB0, we were getting proper rotation of motors few hours ago. But when we tried to do that again, motors are not rotating at all. We are doubtful about the procedure. Help us to resolve the issue."
Balance Bot	In the que.3 of modulation_and_simulation_questions do we have to find the response of system in scilab and xcos both or only anyone wld be enough ? please reply asap thnakyou 
Images in question.	Can we add images in the answers to the question of theory part like the velocity of robot?
Task 2 Marking Scheme	"Dear sir,            Please let us know the detailed marking scheme for Task 2."
ttyACM0 not found	when we are trying to burn a hex file we ae getting this error 59.png
Fritzing Problem	I am not able to find the required parts for drawing the circuit in Fritzing. Is there any library that needs ti be downloaded? Please help.
Linear and angular velocity of robot.	"Sir, regarding @444 could you please tell us how the linear velocity of a wheel is different from that of wheels. And we don't understand why the robot will have an angular velocity since its not rotating. Is it for the wheels then?  "
Connections query	"Dear sir, We have observed the diagram and the table given in the document. There were some mismatch in the following connections.   Pin                         in table                     in diagram M2_chA                 port E4                     Port E5 M2_chB                 port E5                     port E4   EnB                        PH3                         PH7 A1                          PA0                         port A Vcc A2                          PA1                         port gnd B1                          PA2                            A6 B2                          PA3                            A7   Whereas, the connections with MPU 6050 are matching both in  documentation and in diagram, and we are getting accurate output for this as well. But we are not getting the desired output for motor. can you please suggest us which connections are we supposed to follow? i.e the connections in the diagram or the connections in the table."
roscore' not working on rPi when rPi is master and PC is client	This is the error that pops up on running roscore command on rPi. (the 2nd pic). Below is the .bashrc file of rPi for rPi as master  Below is the .bashrc file of PC   Please revert asap! 
encoder values	"Dear sir, We are getting values of encoder for one motor only i.e the motor A. as shown in the figure. but we have tried both the motors on that perf board so we are sure that the motors are working fine. We have even checked both the perf boards by interchanging them, thus there is no issue with the perf boards and their connections as well. There were some connection difference found in the image provided and the table given in the pdf. so we tried the connections in the image and later even tried the connections mentioned in the table in the pdf. but even that wasn't helpful. so far we have tried the above mentioned combinations but still we are unable to find out what the exact error. Please help us. "
about STK connectivity	"sir as you instructed us in query @338 we tried to connect the atmega board in Windows environment  but the result hasn't varied .   we have met with an error-""libUSB0.dll file missing""   we tried downloading dll file which lead to another error .   we have tried this in more than 5 different computers and we are facing the very same error.   Is there a chance that our STK itself is not working!!!?   We just want to test our motors, xbee modules and MPU  Please help."
Schematic	"Instead of connecting the components with wire, we are connecting them using labels. Is it fine?"
Only one motor is rotating	"Dear sir, we have burned the code hardware_testing.hex in the controller. So as per the code both the motors should start rotating but in our case only one is rotating. At first we thought that it might be because one of the motor is faulty but it wasn't so as we interchanged the positions of the motor and saw that both the motors are working fine. later we thought that their might be issue in the soldering of that particular perf board but then we interchanged the perf boards as well, both the perf boards are working fine on 1 particular connection. Then we checked our connections as well but even the connections were correct. Thus we are unable to understand what the problem is exactly. can you please help us with this as soon as possible.  "
Convert to PDF?	Do we need to convert the document of the theory part to PDF before uploading?
Raspberry Output Query	"Dear sir,          We have followed all the steps as mentioned in the pdf and have got stuck at the last step i.e.'rosrun image_view image_view image:=/usb_cam/image_raw ' and following is the error that we are facing while running this command. "
Xctu unable to refresh port.Urgent	"Sir,Xctu is unable to refresh serial/usb port.It just displays /dev/ttyS4. Even with usb  removed its struck on this.I tried reinstalling it but i t was struck on the aabove port."
Question problem	 How can you calculate the linear and angular velocity using encoder ticks? in this question we have to find linear velocity and angular velocity of robot or wheels ??
catkin_make Error	We are getting different error than the one mentioned in @293. Our error is internal compiler error as shown in following image. What can we do to resolve the following error? 
about R-pi testing video	"sir in the instruction pdf you have asked us to ""record the video of PC"" now you are telling us to ""screen-record"" the output. We are a bit confused and we have already submitted a video of testing R-pi.    are we supposed to make a new video now (screen-record) ??"
catkin_make problem in raspbery pie	"we had tried the catkin_make command four times, each time we keep it till 45-50 min the process doesn't move further  as shown in the picture please help us out at your earliest     "
title sheet	is it necessary to show title slide in microcontroller testing video as we shooting video from mobile not from screen recorder??? We show our title slide in raspberry testing video using screen recorder....
Motor Direction during video	"Sir, In the task, are we instructed to keep both the motors in same direction such that both motors rotate forward during forward command input?  Or we are instructed to keep them facing opposite direction as it represents two wheels as in a robot?   Both motors rotate forward only when we keep in same direction(i.e. their axis in same dir.). That's why a bit confusion.   Thanks in advance."
ROS_MASTER_URI issue	"We had set the R-Pi as MASTER which has IP : 192.168.0.107 and also source the bash file. On checking the ROS_MASTER_URI in Laptop and Pi it is showing the correct one, but while running ROSCORE it is showing us the IP of LAPTOP in ROS_MASTER_URI section (highlighted in the image). Is this fine or are we going somewhere wrong?   Also, there's a warning coming which i think so is not a deal but I'm not sure.   "
Showing the encoder values first	"Sir, regarding the @432 due to large encoder values after motor motion, can we show the positive and negative values first and then show the motor motions. Initially it will take less number of manual rotations to show the positive and negative."
mpu error	"GETTING ""INPUT/OUTPUT ERROR"" ON THE TERMINAL WHILE RUNNING GTKTERM"
wireless adapter	how to install wireless adapter on raspberry pi
Can we draw the circuit in paint or by hand?	Can we draw the circuit in paint or by hand since we are not getting the Atmega development board as shown in pdf?
L298 - Regulator or Lipo Battery	Do we have to connect the lipo battery direct to the L298 or through the regulator.
Too large encoder values to show positive or negative values	"Sir, the encoder values are too large by the time we do the forward, backward and other motions. So we are not able to set the encoder values to positive or negative value as it will take a lot of manual rotations. So can we just show the changes in encoder values. Is it necessary to show the positive and negative values?"
No chatter topic when using hardware_testing.hex	"After burning the hardware_testing.hex file, and running the motor_publisher.py file, when we list all the topics using rostopic list command, only three topics show up - /motor_control, /rosout and /ros_agg. But when we use hello_world hex file, the /chatter topic also shows up. Maybe due to this, when we give the keyboard strokes in motor_publisher.py , nothing happens."
confusion on extracting file to memory card	Sir the ROS file which sent to us when extracted in windows its counting out to be 15.2 GB And when done in linux it is 14.9 GB.  which exceed the limit? please tell me solution  
Delay in Encoder data display	Sir data of encoder which was printed on publisher chatter is having some delay is it ok or we do something for this delay??? video is attached to showing this. https://youtu.be/crgOoGIqIz4
Where to give the power in L298	"In L298 do we have to give power in the screw connector +- PWR or the VCC, GND pins on it? And how much should we give?"
Difference in connections	"Sir, we are able to get encoder values correctly. But the motors are not rotating in either direction even though we are giving it power by a 9V battery through L298. I think this is the problem due to connections as shown in the pdf. The connection in the table and the diagram is different.Similarly, there is a difference in connection between the diagram and the table of the motor connections.In the motor 1 according to the table port D and K should be connected accordingly but the diagram shows that it is connected to port K and E. And for motor 2 according to the table the ports connected should be E and C while according to the diagram it is connected to port C and D.Please tell us the correct connection as neither motor is moving but the encoder value is received successfully."
Regulator board in video	Is it necessary to show the powering of raspberry pi board by 5V regulator that we have made in this task? We have powered by USB while recording screen showing the camera video captured that shows the rapberry connection.
Confusion about connections of board for Motor with quadrature encoder	Is the other end of the left resistor supposed to be free or should it be connected with the yellow wire (VCC)?
Raspberry Pi Output: Video or Image?	"Sir, in the PDF it says that raspberry pi will send the captured image. But below in the note, it says that there will be video lag.  So, is the output an image or a video?"
Center of Gravity Calculation	"For the CG question, should we just calculate the CG of the entire robot when it's static and show it? OR calculate the CG of the body when the robot is in motion? We are getting two different values. Please clarify."
Lipo to Atmega Connection and Heating of Regulator	"Sir, do we have to directly connect the lipo battery to the DC jack of the ATmega board since it already has a built in regulator?Or do we have to pass it through the regulator to the board? When connecting it to the perf board, the regulator and the capacitor seems to get hot and there also fuming. Are doing it right?"
motor_publisher turns only 1 wheel	we ran motor_publisher and serial_node on separate terminals and both are working.When we start the atmega one wheel continuous rotates and no other moving instructions are performed on the wheels. The only working instruction is the encoder data from the wheels.   our rqt_graph is        This is out list 
Regarding Atmega 2560 Board	Sir can you please provide the board datasheet as we don't know  where D0 D1and other pins start and where it was connected to the chip of Atmega 2560. This would help us in further programming on Arduino Ide.
Schematic file	Sir can we make schematic file on Altium software??
Video naming for task 2	"What should be the name of the video for both the R-Pi Testing and Controller h/w testing. On website it is mentioned differently and in the PDF provided it is different. Do we need to follow the one given on the website ?   Also as mentioned for Controller h/w testing, in the video for R-Pi, do we need to mention the SLIDE with all members name in it.      "
During left/right command either one of the two motors only rotating	 @302 says during left command one motor rotates in clockwise and other in anti-clockwise.But for us only one motor rotates. 
HDMI	sir please tell us how to check whether HDMI is connected properly to raspberry pi
raspberry pi	sir keyboard and mouse are not showing power when connected to raspberry pi.   please kindly tell us how to connect them
wireless adapter	sir we are having problem in installing wireless adapter in laptop. kindly send the steps to install wireless adapter
how to resolve this error n why it is occuring??	
usb connection	"   after running the roscore command, we have to connect the usb with programmer or the atmega 2560??"
after compile file error	"   desired file after compiling the code is .ino.hex file but we are not getting that, we are getting .pde.hex  is it alright to use .pde.hex file."
Still showing the same frequency in error console	"Sir/Ma'am, i have changed the frequency from 16000000L to 14745600L in boards.txt as told in Arduino_IDE_installation pdf and saved the file. But i am still getting the same frequency in the error console.     "
Task 2 Questions and Answers	"Sir,   1.What are the required number of lines for each question?   2.What are the allotted marks for each question ?   Please reply ASAP."
Confusion about video taking	"Sir, It is mentioned in the pdf that we have to screen record the hardware testing task with one member passing the inputs. But in @302 it is mentioned that "" make a video with the motion of two motors visible "". We are confused regarding this. Are we supposed to take video of motor or just the terminal?   Thanks in advance."
gedit command not found.	"Sir, we are not able to open gedit file from command in rpi and thus laptop. So we installed gedit application in rapberry pi. Now we are able to open files in gedit using command. But still we are unable to access them on the laptop.My question is did the Rpi operating system had the gedit application pre-installed. Did we do the right thing by installing it or do we need to again burn the OS."
Not able to connect RPi to PC	"Sir, we followed every instruction of PDF as well as Piazza. Initially we were able to connect the laptop to raspberry pi with the command ssh ip@192.168.1.103Then we made the PC client and the rapberry pi the master.But then it was showing the error that ""Permission is denied""We undid the changes, again sourced the bashrc file and even rechecked the IP address still it shows this error even though we are entering the right password."
Problem in configuring Raspberry pi board	"Sir, we are facing a problem while configuring raspberry pi with the monitor. Video link -  this   we have referred to solution on this page."
Timeout error while uploading hex file	Sir we are getting the timeout error continuously while uploading xbee.hex file to the arduino board. We have gone through all the previous posts here regarding this and none of them seem to be working out for us. We also googled regarding the problem but nothing works. Please help us out.      
error in catkin_make	Sir should I try the same solution as provided in @293. Also there is no etc folder present in Home folder. Should I try booting the device again. 
Unable to obtain MPU6050 Readings	"Sir, we are trying to fetch MPU6050 readings using gtkterm, but we are facing an issue after   sudo gtkterm  it says   Control signals read: Input/output error     "
Improper rostopic list output	"Sir, till yesterday after following all the process and solutions available on piazza everything went smoothly and we were just having the problem of camera calibration.   But today after calibrating the camera, we are having issues in image display (displaying a white screen) and the output of rostopic list is as attached (improper).   Today, after calibrating the camera we just copied the camera_info file into the .ros folder. We are unable to detect were we made error."
ATmega 2560 development board schematic	We are not able to get the schematic diagram of ATmega development board in Fritzing and google too so please help us to get on with this. Can we draw the same photo as given in pdf or we need to make it just like the other development boards by giving its pin diagram.
RaspberryPi Display-out Issue	"Sir,   The Raspberry-Pi from our kit is not operating on the screen even after creating bootable sd card for RPI. We are using an HDMI-VGA converter to make the connection between the RPI and our monitor. We have tested the secondary display on multiple laptops and it works fine. In our observation, the RPI's HDMI port is not sending out any signals. Kindly help us out. Secondly, we have read up that we could make edits in the config.txt file in the SD card to sort out the display problem but the SD is inaccessible. So, is there is a solution for the same as well?"
o/p of hardware testing is not coming	sir we have reached up to this output   but its nt running motors n getting back acc. n motor encoders o/p when pressed 7 or 9   n in rsotoic list after running motor_publisher.py there are topics chatter n motor_contol but o/p in controller is not coming   when acc. n motor encoder hex is uploded then all o/p has came properly and both xbee are getting connected but in this case xbee are nt getting connected so what should we do....???\   and do we have to use gtkterm to watch output   pls guid us.           
Raspberry pi not booting	Dear sir  our raspberry pi is not booting up We tried making bootable sd card using both ubuntu as well as windows please help  
Problem in uploading the hex file	   We're getting this error constantly. Kindly help.
Ros_berry_customize	Can you provide a download link for ros_berry_customize.img as the file got corrupt after I moved it and I am unable to find it online. 
Usb camera not being accessed	"Whenever I run the following command$ roslaunch usb_cam usb_cam-test.launchMy laptop webcam starts working. On searching for it, I founnd that the Intex webcam is at /dev/video1. Even after editing the /dev/video0 to /dev/video1 in the usb_cam-test.launch file, it still accesses the laptop webcam. Please help."
position of jumpers	can u please upload a image of jumpers that r to be connected on the atmega2560 board
error in uploading hello world	   not able to debug
"      Error in compling the ""Hello world"" command"	"   We are repeatedly getting this error, even after reinserting the respective libraries. Kindly help, asap. Thank you."
changes in boards.txt	sir as for the instruction written in Arduino_IDE_installation.pdf that change the value to mega.build.f_cpu=14745600L...but after changing in Boards.txt and complie a program in Arduino IDE show older value mmcu=atmega2560 -DF_CPU=16000000L . so my question is we have to change from everywhere 16000000L is written to 14745600L.
Regarding Schematic	"In schematic are we supposed to draw the complete circuit as in, including the small diodes and leds (referring to motor driver) etc. or we just need to draw the schematic of the major components such as motor driver, mpu6050 etc. in blocks and show the wire connections"
Xbee testing error	"dear sir, as mentioned in the xbee configuration pdf we have followed all the steps and  we have even followed the video to test the xbee module. we are getting the output as ""welcome to explorer bot"" as shown in the video but the further step of transmission and receiving is not getting executed. what could be wrong "
getting this problem while running HelloWorld.pde.hex	
regarding ros library	   while uploading .hex on arduino we are getting the following error. kindly help us.
Getting errors for building packages using catkin_make	 Process getting failed. Please guide.
selected USB0 still getting error	"dear sir, Thankyou for your previous advice of searching USB0. now we are uploading the code using USB0. but still we are facing an error as shwon in the image. please help us with this"
Error in making the ros library	   Error after the sudo command is executed.
We are getting this problem. Please help us?	
Help regarding Coding of Task 1	"Sir, I am a case student and I am unable to understand how to code for the board . can someone refer to any tutorials that can help me solve it."
Confusion on  Poll for Stage-2 Qualifier test.	"Dear Participants,   You might have received an email for filling a Google form in order to decide  the dates for stage-2 Qualifier Test. Google form is only for Track-1 and Track-3. Please ignore the email as there is no stage-2 in Track-2   Thanks & Regards "
Encoder data	Sir when we rotate motor by hand then continous increase/decrease of encoder value is not printed on publisherchatter it print the encoder data after a short time nearly 1 or 2 sec after when we stop rotating is it ok or having some problem while mpu reading is continous and fine can you plz suggest any problem if any?
MPU 6050 output error	Sir all the values are showing zero Please help
battery monitoring circuit	How are we supposed to use battery monitoring circuit?
compile time error	"dear sir, following is the error while compiling 'hello world' code what can we do?"
rosserial sync problem	Sir we run motor_publisher.py and observe gyro data on chatter. It starts printing values properly for sometime then it freezes and we get Lost sync with device error on rosserial terminal. Then it resumes after sometime and this keeps happening. Same thing happens while printing motor encoder values. Please help. 
Stage-2 Qualifier Test	"Sir, is this test also for the Track 2 Teams?According to what we were informed earlier only track 1 and track 3 had two stages. "
Motors cant be rotated manually	Sir the motors cant be rotated manually so please let us know how to test motor encoder.
Error loading hex file	While loading the motor encoder hex file we are getting the following issue    Please help!!!!!
Error in rosserial	Sir getting this error. Please help    
Error console in Arduino IDE	We are not getting the desired output as show in the Arduino_IDE_installation pdf the output which  we are getting is shown below Please help!!!!!           
is this connection right?	   when the switch is turned ON the 1st n 2nd terminal will be shorted which means the battery is shorted.  whether the connection is right or i m wrong?
regarding powering the atmega board	"Dear sir, sir when the connect the jumpers in the original positions i.e i their default position at that time the power led glows but when we change the jumpers position as shown in th xbee module the power led doesn't glow. I think the power led should glow both the times. Is there any problem on the board or is the convention correct."
xbee module not getting added	"Sir/Mam when we try to add the device in xctu following  the procedure, the reset dialog box pops up and after resetting the module search process again starts and completes but thedevice does not get added....we do not understand the problem...there is no device showing in the radio module list... please help."
Faulty Motor!	Sir  We checked our motors with multi-meter and one of them appears to be faulty as M+ and M- terminals are short.  
Schematic Design	Can we use Proteus 8.3 instead of eagle in order to design schematic?
Interfacing and programming MPU 6050	How to interface MPU 6050? Do we need to solder the berg strip to it ?
Error while loading Xbee.hex on board	We referred @311. We are getting the following error while loading .hex on board. Everything is connected as mentioned in the pdf. What should we do? attached images: 1 atmega board (Please let us know if any connection error on board) 2 error that we faced on the terminal 
problem loading xbee hex in controler	"sir i m having this error when i try to load hex on controler   naresh@naresh-Satellite-C50-B:~/Downloads/TASK-2/Hardware Testing/Testing Instructions$ ./avrdude_script.sh -f '/home/naresh/Downloads/TASK-2/Hardware Testing/Test files/Xbee.hex' help: file: /home/naresh/Downloads/TASK-2/Hardware Testing/Test files/Xbee.hexavrdude: ser_open(): can't open device ""/dev/ttyACM0"": No such file or directoryavrdude done.  Thank you.  "
